text,adv_text,minimal_k
"Fearful Body Posture Tells Others: Run! The brain #39;s response to another person #39;s body language may help explain why humans are quite efficient at fleeing from danger, according to researchers.","Fearful Body Posture Tells Others: Run! Du brain #39;s response to another person #39;s body language may help explain why humans are altogether efficient at fleeing from danger, according to researchers.",2.0
Center Fiddler Re-Signs With Predators (AP) AP - Center Vernon Fiddler re-signed with the Nashville Predators on Thursday after playing most of last season with the team's AHL club.,Center Violinist Re-Signs With Predators (AP) AP - Center Vernon Violin re-signed with the Nashville Predators on Thursday after playing most of last season with the team's AHL club.,2.0
"Sehwag #39;s century gives India advantage in second Test: Sports India, Cricket: Chennai, Oct 15 : Virender Sehwag scored a return-to-form seventh Test century Friday to give India the upper hand in the second cricket Test against Australia.","Sehwag #39;s century gives India advantage in second Test: Sports India, Cricket: Chennai, Oct 15 : Virender Sehwag scored a return-to-form seventh Test century Friday to confer India nova upper hand in the second cricket Test against Australia.",2.0
Zafi.D virus: Christmas wishes and a computer virus! Please be aware as there #39;s a new virus worm spreading on the net. The Zafi.D variant is a Christmas wish e-mail together with a .,Zafi.D virus: Christmas wishes and a computer virus! Please be aware as there #39;s a new virus worm spreading on the net. The Zafi.D variant is a Christmas wish e-mail ensemble avec a .,2.0
Bush encourages more debt reduction for Iraq US President George W. Bush on Sunday hailed an agreement by the Paris Club of creditor nations to cancel 80 percent of Iraq #39;s debt and called on other nations to join in as well.,Bush favouring more debt falling for Iraq US President George W. Bush on Sunday hailed an agreement by the Paris Club of creditor nations to cancel 80 percent of Iraq #39;s debt and called on other nations to join in as well.,2.0
"Krispy Kreme Posts Net Loss After Charges Struggling doughnut shop chain Krispy Kreme Doughnuts Inc. (KKD.N: Quote, Profile, Research) on Monday reported a quarterly net loss because of impairment charges and store closing costs.","Krispy Kreme Stances Net Loss Thereafter Charges Struggling doughnut shop chain Krispy Kreme Doughnuts Inc. (KKD.N: Quote, Profile, Research) on Monday reported a quarterly net loss because of impairment charges and store closing costs.",2.0
"22 killed, 100 injured in Nagaland twin blasts : India News  gt; Guwahati, Oct 2 : At least 22 people, including women and children, were killed and over 100 injured when two simultaneous landmine blasts ripped through the busy railway station here and a crowded market place of this commercial town of ","22 killed, 100 injured in Nagaland twin blasts : India News  gt; Guwahati, Oct 2 : Onto least 22 people, including women and children, were killed and finished 100 injured when two simultaneous landmine blasts ripped through the busy railway station here and a crowded market place of this commercial town of ",2.0
TOKYO REACTION Koizumi Vows No Japanese Withdrawal After Tourist #39;s &lt;b&gt;...&lt;/b&gt; Prime Minister Junichiro Koizumi on Sunday repeated his vow to keep about 550 troops in Iraq after the government confirmed that the decapitated body found on a street ,TOKYO REACTION Koizumi Vows Nos Japanese Withdrawal After Tourist #39;s &lt;b&gt;...&lt;/b&gt; Prime Minister Junichiro Koizumi on Sunday repeated his vow to keep about 550 troops in Iraq after the government assured that the decapitated body found on a street ,2.0
"No. 2 Wake Forest 81, Virginia Commonwealth 67 For the second straight game, Wake Forest had to fight off its own inconsistency and an opponent that refused to quit. Chris Paul scored 16 points despite taking just three shots from the field Thursday night to help the No.","No. 2 Wake Forest 81, Virginia Commonwealth 67 For the second straight game, Wake Forest had to fight off its own inconsistency and an opponent that refused to quit. Chris Paul scored 16 points despite taking just three shots from the field Thursday night to pomoc nova No.",2.0
"Vaughan hopes to retain top form Michael Vaughan said he hoped to take the batting form he has shown in Zimbabwe into the long tour of South Africa, where England fly on Monday.","Vaughan hopes de conserving top form Michael Vaughan said he hoped to take the batting form he has shown in Zimbabwe into the long tour of South Africa, where England fly on Monday.",2.0
"GE pledges to meet rules of disclosure in SEC pact General Electric Co. yesterday agreed to a settlement with the Securities and Exchange Commission, which accused the company of failing to provide shareholders with enough information about the retirement perks provided to former chief executive Jack Welch.","GE dedication to meet rules of disclosure onto SEC pact General Electric Co. yesterday agreed to a settlement with the Securities and Exchange Commission, which accused the company of failing to provide shareholders with enough information about the retirement perks provided to former chief executive Jack Welch.",2.0
"New Zafi-D Worm on the Prowl, Alerts MicroWorld MicroWorld Software has cautioned Internet users about a new malicious worm known as the W32/Zafi-D. According to the antivirus and content security software provider, W32/Zafi-D behaves in a typical worm manner.","New Zafi-D Worm on the Prowl, Alerts MicroWorld MicroWorld Software has cautioned Internet users about a novel malicious worm known as the W32/Zafi-D. According to the antivirus and content security software provider, W32/Zafi-D behaves in a normal worm manner.",2.0
Hurdles Remain for U.S. Voters Living Overseas Civilians and soldiers living abroad face an unwieldy system of absentee balloting that could prevent their votes from being counted.,Barrera Remain for U.S. Voters Living Overseas Civilians and soldiers living abroad face an unwieldy system of absentee balloting that did prevent their votes from being counted.,2.0
"The Apple iPod - now from Hewlett-Packard HEWLETT-PACKARD unveiled its own version of the iPod portable music player, showing the fruits of a groundbreaking partnership it had previously announced with Apple Computer.","To Pie iPod - now from Hewlett-Packard HEWLETT-PACKARD unveiled its own version of the iPod portable music player, showing the fruits of a groundbreaking partnership it had previously announced with Apple Computer.",2.0
"ObjectsSearch Offers Open Source Search Results ObjectsSearch Offers Open Source Search Results\\Aiming to provide users with unbiased website ranking, ObjectsSearch.com has launched an open source search engine based on Nutch.org's search. ObjectsSearch looks to solve problems related to search result manipulation and information overload. ObjectsSearch claims that their open source approach provides an ""alternative to commercial ...","ObjectsSearch Offers Open Source Search Results ObjectsSearch Offers Open Source Search Results\\Aiming to provide users with unbiased website ranking, ObjectsSearch.com has launched an open source search engine based on Nutch.org's search. ObjectsSearch looks to solve problems related to search result manipulation and information overload. ObjectsSearch claims that their open source approach provides an ""surrogates pour commercial ...",2.0
"JP Morgan, Cazenove tie up LONDON: JP Morgan Chase  amp; Co, the ninth ranked underwriter of UK stocks, formed a joint venture with Cazenove Group Plc to improve its access to Britain #39;s biggest companies.","JP Morgan, Cazenove tying up LONDON: JP Morgan Chase  amp; Co, the ninth ranked underwriter of UK stocks, formed a joint venture with Cazenove Group Plc to improve its access to Britain #39;s grander companies.",2.0
"Weight of drugs felt Weightlifting #39;s aggressive pursuit of drug cheaters will continue even if it jeopardizes its future in the Olympics, its top official said yesterday following six more positive doping cases in what is again becoming the Games #39; dirtiest sport. Five ...","Weight of medicine felt Weightlifting #39;s aggressive pursuit of drug cheaters will continue even if it jeopardizes its future in the Olympics, its top official said yesterday following six more positive doping cases in what is again becoming the Games #39; dirtiest sport. Cinco ...",2.0
"NRI entrepreneur hits windfall eBookers, one of Europe #39;s leading travel website is up for grabs. Cendant, the world #39;s largest travel group, is expected to announce a deal to buy the internet travel site at \$145 mn or more.","NRI entrepreneur hits windfall eBookers, one of Europe #39;s leading travel website is up for grabs. Cendant, the worldwide #39;s most travel group, is expected to announce a deal to buy the internet travel site at \$145 mn or more.",2.0
"Glorious Sterne avoids school trip THERE was both grief and jubilation abroad in the environs of Madrid yesterday, but for nobody was the latter more dramatic than for Richard Sterne.","Glorious Sterne avoid school trip THERE was both grief and jubilation abroad in the environs of Madrid yesterday, but for nobody was the latter more dramatic than for Richards Sterne.",2.0
"Groups Offers Beer for Blood Donations (AP) AP - Some in Michigan who roll up their sleeves to donate blood will get a racetrack T-shirt, hat and pin. Sponsors in San Diego have given away whale-watching trips. On Wednesday, the Cleveland Regional Transit Authority handed out vouchers for a pint of any beverage, including beer, in exchange for a pint of blood.","Groups Offers Beer for Blood Donations (AP) AP - Some in Michigan who roll up their sleeves to donate blood will get a racetrack T-shirt, hat and pin. Sponsors in San Diego have given away whale-watching trips. Onto Wednesday, the Cleveland Regional Transit Authority handed out vouchers for a pint of any beverage, including beer, in exchange for a pint of sangre.",2.0
"Goodale projects \$5.9B surplus this year OTTAWA - Canada is on track to post a budget surplus of \$5.9 billion when the federal government #39;s current fiscal year ends in March, Finance Minister Ralph Goodale said Tuesday.","Goodale projects \$5.9B surplus this year OTTAWA - Canada is on track to post a budget surplus of \$5.9 million when the federal government #39;s current fiscal year ends in March, Finance Minister Ralph Goodale declared Tuesday.",2.0
"Rays hand Sox second straight loss The Red Sox lose back-to-back games for the first time in more than five weeks, after a 5-to-2 loss to the Tampa Bay Devil Rays. Rookie Scott Kazmir outpitched Pedro Martinez to lead Tampa Bay.","Rays hand Sox second straight loss The Red Sox lose back-to-back games for the first time in more than five weeks, after a 5-to-2 loss to the Tampa Bay Devil Rays. Rookie Scott Kazmir outpitched Pedro Martinez of lead Jacksonville Bay.",2.0
"Problema Violencia A Roma Continua (Pardo Duo) The abandoned Roma v Dynamo Kiev game cannot be awarded to the Ukranians, as the two teams are involved in a group, rather than a knock-out between the two of them.","Problema Violencia A Roma Continua (Pardo Duo) Nova abandoned Roma v Dynamo Kiev jeu cannot be awarded to the Ukranians, as the two teams are involved in a group, rather than a knock-out between the two of them.",2.0
Wife's Illness Gives Coach Perspective (AP) AP - Michigan State coach John L. Smith sat in his office last week contemplating football  #151; and life.,Wife's Illness Gives Coach Perspective (AP) AP - Michigan State coach John L. Smith sat in his office last week contemplating football  #151; y iife.,2.0
"GM's CEO Pours Cold Water on Gas Tax Hike  DETROIT (Reuters) - General Motors Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GM.N target=/stocks/quickinfo/fullquote""&gt;GM.N&lt;/A&gt; on Friday  said Americans had no need to worry about talk of higher  federal gasoline taxes being used to curb their dependency on  foreign oil.","GM's CEO Pours Cold Water on Gas Tax Hike  DETROIT (Reuters) - General Motors Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GM.N target=/stocks/quickinfo/fullquote""&gt;GM.N&lt;/A&gt; on Friday  avowed Americans had without need to worry about talk of higher  federal gasoline taxes being used to curb their dependency on  foreign oil.",2.0
"Report: Intel shelves another chip Intel Corp., the world #39;s largest maker of computer chips and a major employer in Folsom, has reportedly dropped plans to develop a chip for projection TVs, the latest in a series of product shifts by the Santa Clara company.","Report: Intel shelves another chip Intel Corp., the world #39;s largest maker of computer chips and a major employer in Folsom, has reportedly dropped plans to develop a chip for projection TVs, the latest in a series of product shifts by the Santa Evidently societies.",2.0
"Belarus referendum result allows Lukashenko to serve third term MINSK: Voters in Belarus have overwhelmingly endorsed constitutional changes to allow authoritarian leader Alexander Lukashenko to seek a third tem in office, according to provisional results of a weekend referendum, the electoral commission chief has ","Belarus referendum consequences allows Lukashenko de serve third term MINSK: Voters in Belarus have overwhelmingly endorsed constitutional changes to allow authoritarian leader Alexander Lukashenko to seek a third tem in office, according to provisional results of a weekend referendum, the electoral commission chief has ",2.0
Switch problem on Genesis craft Faulty switches are identified as the most likely cause of the Genesis sample-return capsule's crash landing last month.,Switch problem on Genesis craft Faulty switches are defined as the most conceivably cause of the Genesis sample-return capsule's crash landing last month.,2.0
Italy #39;s Brugnetti Upstages Perez in 20km Walk ATHENS (Reuters) - Italy #39;s former world champion Ivano Brugnetti returned to the limelight to upstage favorite Jefferson Perez and win the Olympic men #39;s 20km race walk on Friday. ,Italy #39;s Brugnetti Upstages Perez onto 20km Walk ATHENS (Reuters) - Italy #39;s former world champion Ivano Brugnetti returned to the limelight of upstage favorite Jefferson Perez and win the Olympic men #39;s 20km race walk on Friday. ,2.0
Iran to suspend uranium enrichment The commitment to the UN #39;s nuclear watchdog agency could derail an American drive to impose UN sanctions. Diplomats said Iran agrees to continue a freeze on uranium enrichment and to suspend related activities.,Iran to suspend uranium enrichment The commitment to the UN #39;s nuclear watchdog agency could derail an American drive to impose UN sanctions. Diplomats said Iran agrees to continue a immobilize on uranium enrichment y to suspend related activities.,2.0
"HP to offer first-call support for JBoss app server NOVEMBER 12, 2004 (COMPUTERWORLD) - In a deal aimed at helping corporate IT decision-makers feel more comfortable about moving to open-source software offerings, Hewlett-Packard Co.","HP to offer first-call support for JBoss app server NOVEMBER 12, 2004 (COMPUTERWORLD) - In a deal destiny at helping corporate IT decision-makers feel more comfortable about moving to open-source software delivers, Hewlett-Packard Co.",2.0
Crime tops Queen's Speech agenda New measures to fight crime and drugs are expected to be at the heart of the Queen's Speech on Tuesday.,Misdemeanour tops Queen's Speech agenda Nouveau measures to fight crime and drugs are expected to be at the heart of the Queen's Speech on Tuesday.,2.0
"Typhoon unleashes devastation on Asia Shanghai - Typhoon Aere crashed into mainland China on Thursday, unleashing torrential rains and prompting the nearly a million people to seek safety, as the death toll climbed to on 35 Thursday after a mudslide killed 15 villagers in Taiwan.","Typhoon unleashes devastation on Asia Shanghai - Typhoon Aere crashed into mainland China on Thursday, unleashing torrential rains and prompting the nearly a million people to seek safety, as the death toll climbed to on 35 Thursday afterward a mudslide killed 15 villagers onto Taiwan.",2.0
"Gold a family affair for champion Newbery Chantelle Newbery gave up diving after her son was born, but she returned to the sport, and on Monday morning she became the first Australian to win an Olympic diving title in 80 years.","Gold a relatives affair towards champion Newbery Chantelle Newbery gave up diving after her son was born, but she returned to the sport, and on Monday morning she became the first Australian to win an Olympic diving title in 80 years.",2.0
"Woodgate move has Robson #39;s blessing Woodgate, 24, has passed a stringent medical in the Spanish capital and will today sign a four-year deal - with the option of an extra year - at the Bernabeu following his 15.","Woodgate move has Robson #39;s blessing Woodgate, 24, has passed a stringent medical in the Hispanic capital and will today sign a four-year deal - with the option of an extra year - at the Bernabeu hereafter his 15.",2.0
"This week's schedule TODAY'S GAMES Division 1 CATHOLIC -- Malden Catholic at BC High, 7. GREATER BOSTON -- Revere at Malden, 6:30; Waltham at Peabody, 7.","This week's schedule TODAY'S GAMES Division 1 CATHOLIC -- Malden Catholic at BC High, 7. GREATER BOSTON -- River at Malden, 6:30; Waltham under Peabody, 7.",2.0
"Campus Computer Hacking Spurs Federal Investigation A computer hacker broke into a UC Berkeley computer containing more than one million records of California residents, prompting federal agencies to launch an ongoing investigation into the incident, state officials said.","Campus Computer Hacking Spurs Canada Researches A computer hacker broke into a UC Berkeley computer containing more than one million records of California residents, prompting federal agencies to launch an ongoing investigation into the incident, state officials said.",2.0
"Experts Calculate Risk of Uncontrolled Hubble Re-entry (SPACE.com) SPACE.com - If NASA's Hubble Space Telescope (HST) fireballs into Earth's atmosphere on its own, the reentry of that massive orbiting observatory violates the space agency's own safety standard.","Experts Calculate Risk of Uncontrolled Hubble Re-entry (SPACE.com) SPACE.com - Although NASA's Hubble Space Telescope (HST) fireballs into Earth's atmosphere on its own, the reentry of that massive orbiting observatory infractions the space agency's own safety standard.",2.0
BYE-BYE BULLIES FOR years they were the bullies of the Premiership playground but now Manchester United are finding that the little guys can fight back.,BYE-BYE BULLIES FOR years they were the bullies of the Premiership playground but now Manchester United are finding that the little guys can fights backwards.,2.0
"Facing pressure, ISP Savvis moves to cut off spammers Savvis Communications, one of the world's largest ISPs, said it is terminating service to about 40 of its customers who have been using its networks for spamming purposes.","Facing pressure, ISP Savvis moves de chopped off spammers Savvis Communications, one of the world's largest ISPs, said it is terminating service to about 40 of its customers who have been using its networks for spamming purposes.",2.0
"NO BACKUP: Pistons #39; bench outscored, 30-8, in first defeat With Vince Carter a non-factor, you would #39;ve expected a Pistons victory Friday night at Air Canada Centre before a crowd of 15,284.","NO BACKUP: Pistons #39; bench outscored, 30-8, in first vanquish With Vince Carter a non-factor, you would #39;ve scheduled a Pistons victory Friday night at Air Canada Centre before a crowd of 15,284.",2.0
Global strength repels oil surge Oil prices keep climbing but for the moment the economists are sticking to the line that the global and Australian economies will weather the storm.,Global strength repels oil surge Oil prices keep climbing but for the moment the economists are sticking to the line that the global and Australian economies desire meteorological the storm.,2.0
"Karzai heading for Afghan victory Supporters of Afghan President Hamid Karzai say he is on course to win the presidential elections, with about one-quarter of the votes counted.","Karzai heading under Afghan victory Supporters of Afghan President Hamid Karzai say he is on course to triomphe the presidential elections, with about one-quarter of the votes counted.",2.0
Putin #39;s policies at fault The spate of terrorist attacks in Russia illustrates that President Vladimir V. Putin #39;s hard-line policy in Chechnya is failing to resolve that conflict or to make Russians safer.,Putin #39;s politician under fault The spate of terrorist attacks in Russia illustrates that President Vladimir V. Putin #39;s hard-line policy in Chechnya is failing to resolve that conflict or to make Russians safer.,2.0
"Explosion in China coal mine, 166 trapped BEIJING, NOVEMBER 28: A gas explosion tore through a coal mine in northern China on Sunday, trapping as many as 166 miners in what could be the worst disaster to hit the worlds most dangerous mining industry in years.","Explosion in Wah coal mine, 166 trapped BEIJING, NOVEMBER 28: A gas explosion tore through a anthrax mine in northern China on Sunday, trapping as many as 166 miners in what could be the worst disaster to hit the worlds most dangerous mining industry in years.",2.0
"Walter shines in home finale TEMPE, Ariz. -- Andrew Walter passed for 332 yards and five touchdowns in his final home game last night and No. 20 Arizona State rolled past Washington State, 45-28.","Walter shines in home finale TEMPE, Ariz. -- Andrew Walter passed under 332 yards and five fumbles in his final home game last night and No. 20 Arizona State rolled past Washington State, 45-28.",2.0
"Virginia Commits Funds To  Lure New IBM Jobs The state of Virginia and Fairfax County each pledged \$600,000 to entice International Business Machines Corp. to bring 1,250 high-paying new government contracting jobs to Fairfax. &lt;BR&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;","Virginia Commits Funds To  Decoy New IBM Jobs The state of Virginia and Fairfax County each pledged \$600,000 to entice International Business Machines Corp. to bring 1,250 high-paying new government contracting jobs to Fairfax. &lt;BR&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lieutenant;/FONT&gt;",2.0
"Microsoft, Swatch Offer New Wireless Watches (Reuters) Reuters - Microsoft Corp.  and watch\maker Swatch  are offering a new line of wireless data\watches, the companies said on Wednesday, bringing the era of\Dick Tracy wristwatch radios one step closer.","Microsoft, Sampler Offer New Wireless Watches (Reuters) Reuters - Microsoft Corp.  and watch\maker Swatch  are offering a new line of wireless data\watches, the companies said on Wednesday, bringing the eras of\Dick Tracy wristwatch radios one step closer.",2.0
"Bullpen gets two new arms In a week that featured the breakdown of trade talks involving Randy Johnson and Jason Giambi #39;s steroid admission, trades for Felix Rodriguez and Mike Stanton sure seem trivial.","Bullpen gets two new arms At a week that featured the breakdown of trade talks involving Randy Johnson and Jason Giambi #39;s steroid admission, trades for Felix Rodriguez and Mike Stanton sure transpires trivial.",2.0
"Straw withdraws WMD Claims Foreign Secretary Jack Straw revealed on Tuesday that British spy masters have formally withdrawn the claims that Iraqi troops had the capability of producing chemical and biological weapons on 45 minutes notice, the key justification used by the US and ","Straw pulled WMD Claims Foreign Secretary Jack Straw discovered on Tuesday that British spy masters have formally withdrawn the claims that Iraqi troops had the capability of producing chemical and biological weapons on 45 minutes notice, the key justification used by the US and ",2.0
Kmart: Rich in Cash and Real Estate but Not in Sales Kmart looks like a true retail oddity: simultaneously losing ground with the American shopper and generating cash like a slot machine.,Kmart: Rich in Cash and Real Estate but Not in Sales Kmart looks adores a true retail uniqueness: simultaneously losing ground with the American shopper and generating cash like a slot machine.,2.0
"New Nuclear Weapon to Surpass Others, Putin Says Reiterating previous statements, though providing no new details, President Vladimir V. Putin said Russia would continue to emphasize its nuclear deterrent.","New Nuclear Weapon to Surpass Others, Putin Says Reiterating previous statements, though providing no new details, President Vladimir V. Putin said Russia would continue de underline its nuclear deterrent.",2.0
"Patriots beat up lowly Browns; Steelers extend win streak to 10 PATRIOTS 42, BROWNS 15: At Cleveland - New England didn #39;t care that the Cleveland Browns had a new coach, a raw rookie quarterback or numerous injuries.","Patriots beat up lowly Browns; Steelers extend win streak to 10 PATRIOTS 42, BROWNS 15: For Cleveland - New Britannica didn #39;t care that the Cleveland Browns had a new coach, a raw rookie quarterback or numerous injuries.",2.0
Cricket: Australia replace Lee with Watson for Kiwis LONDON : Australa won the toss and elected to field in their winner-takes-all ICC Champions Trophy Pool A match against New Zealand here at the Oval.,Cricket: Australia supersedes Lee with Watson for Kiwis LONDON : Australa won nova toss and elected to field in their winner-takes-all ICC Champions Trophy Pool A match against New Zealand here at the Oval.,2.0
"Samsung Introduces Tiny Flash-Memory Cards com. Samsung Electronics Co. Ltd. announced a line of flash-memory cards that are smaller than a thumbnail, as the firm said it had defeated the nagging problem of high power consumption.","Samsung Introduces Tiny Flash-Memory Cards com. Samsung Electronics Co. Ltd. announced a line of flash-memory cards that are smaller than a thumbnail, as the firm said it had defeated the nagging problem of higher power consumerism.",2.0
UN Security Council Tries to Stop Syrian Meddling in Lebanon The United Nations Security Council approved a rare resolution against an Arab state -- without naming names -- late Thursday. The resolution is intended to stop Syrian meddling in Lebanese politics and affairs.,UN Security Council Endeavour to Stop Syrian Meddling in Lebanon The United Nations Security Council approved a rare resolution against an Arab state -- without naming names -- late Thursday. The resolution is intended to ceasing Syrian meddling in Lebanese politics and affairs.,2.0
"New technology increases threats New technologies will make existing information security measures obsolete over the next five years, according to analyst Gartner.","New technology augmented threatens New technologies will make existing information security measures obsolete over the next five years, according to analyst Gartner.",2.0
Beck outs Llodra to secure final St Petersburg - Slovakia #39;s Karol Beck has grabbed a pass into the final of the one-million-dollar Saint Petersburg Open ATP tournament by beating French seventh seed Michael Llodra on Saturday.,Beck outs Llodra the secure final St Petersburg - Slovakia #39;s Karol Beck has grabbed a pass into the final of the one-million-dollar Saint Petersburg Open ATP tournament by conquering French seventh seed Michael Llodra on Saturday.,2.0
"Pistons send NBA back to drawing board There #39;s going to be a ring ceremony in an NBA city tonight, and by now you probably know it #39;s not going to be in Los Angeles.","Pistons send NBA back to drawing board There #39;s going to be a ring ceremony in an NBA city tonight, and by now you probably know it #39;s nothing going to worden in Los Angeles.",2.0
Stuttgart Closing on Qualification VfB Stuttgart went clear at the top of UEFA Group G with a convincing 3-0 win over Portuguese giants Benfica. Brazilian striker Cacau put Matthias Sammers side ahead and further ,Stuttgart Closing on Qualification VfB Stuttgart went clear at the top of UEFA Group G with a convincing 3-0 win over Portuguese giants Benfica. Brazilian striker Cacau put Matthias Sammers side future and else ,2.0
"Football legend Clough dies of stomach cancer (AFP) AFP - Legendary manager Brian Clough, who led unfashionable Nottingham Forest to two European Cup titles, has died of stomach cancer aged 69.","Football legend Clough dies of stomach cancer (AFP) AFP - Legendary manager Brian Clough, who led unfashionable Nottingham Forest to two European Cup titles, has died of gut krebs aged 69.",2.0
Danforth Quit U.N. Post to Return to Mo. (AP) AP - U.S. Ambassador John Danforth said Friday he took himself out of the running for any job in President Bush's second term because he wanted to go home to Missouri.,Danforth Quit U.N. Post to Return to Mo. (AP) AP - U.S. Ambassador John Danforth told Friday he took himself out of the running during any job in President Bush's second term because he wanted to go home to Missouri.,2.0
"Steel group sees continued strength in China demand LONDON (CBS.MW) -- European markets saw a moderate advance in early trade Monday, carrying over some of the late-session rally on Wall Street and helped by steel group Arcelor #39;s view of Chinese demand.","Steel group sees continued strength in China demand LONDON (CBS.MW) -- European markets saw a moderate advance in early trade Monday, carrying over some of the late-session rally on Wall Street and helped by steel group Arcelor #39;s standpoint of Chinese request.",2.0
Martin Says His Trade Isn't the Fault of Thorn Kenyon Martin made it clear Sunday that he did not hold Rod Thorn responsible for his departure after he spent his first four N.B.A. seasons with the Nets.,Martin Says His Commerce Isn't the Fault of Thorn Kenyon Martin made it clear Sunday that he did not hold Rod Thorn responsible for his departure after he spent his first four N.B.A. seasons with the Filet.,2.0
3 Schools Set to Join Sun Belt Conference (AP) AP - This is the last season the Sun Belt Conference will be scattered across the country.,3 Schools Set to Join Sun Belt Conference (AP) AP - This is the past season the Sun Belt Conference will be sparse across the country.,2.0
"FOOTBALL: NOU BALLS PLEASE HENRIK LARSSON is out for the season because of a shattered left knee but Barcelona #39;s manager Frank Rijkaard, while sympathetic to the Swede #39;s plight, won #39;t lose any sleep ahead of tomorrow night #39;s Champions League match against Celtic.","FOOTBALL: NOU BALLS PLEASE HENRIK LARSSON is out for the season because of a shattered left knee but Barcelona #39;s manager Frank Rijkaard, while sympathetic to the Swede #39;s plight, triumphed #39;t lose any hibernate ahead of tomorrow night #39;s Champions League match against Celtic.",2.0
"Georgia at Auburn The debate stoked by Southern football fans all summer long seems fairly hilarious now. The question -- you remember it -- was, which will be the better conference, the SEC or the new ACC?","Georgia at Auburn The debate stoked by Southern football fans all summer long seems fairly hilarious now. To question -- you reminisce it -- was, which will be the better conference, the SEC or the new ACC?",2.0
"Microsoft's government head to jump ship Maggie Wilderotter, leader of the software maker's government sales effort, is leaving to be CEO of a rural telecommunications company.","Microsoft's government leader the jump ship Maggie Wilderotter, leader of the software maker's government sales effort, is leaving to be CEO of a rural telecommunications company.",2.0
"Not how they planned it Im surprised about the whole ordeal. It wasnt supposed to be like that, Williams said. Not after the Giants put 22 new faces on their active roster, brought ","Not how they planned it Im surprised about the whole ordeal. It wasnt supposed to be like that, Williams said. Nah upon the Giants put 22 new faces on their active roster, brought ",2.0
